GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
HILPDA;CHI3L1;CST3;BCAN;DLL3;STMN2;RRM2;CCNB1;SLC1A2;GAD2;SLC17A7;MBP;DSCAM;FLT1;CEMIP;GRM8;SLIT3;PTPRC;CCL4;HLA-DQA1
ADM;ANXA2;S100B;PLP1;DLL1;CD24;PCNA;CDC20;DPP10;GAD1;NRGN;ST18;LHFPL3;ATP10A;BICC1;PDE7B;TAGLN;SKAP1;ADRB2;MS4A6A
DDIT3;ANXA1;SLC1A3;GPR17;SOX4;RND3;KIAA0101;CCNB2;GFAP;SLC32A1;NEUROD2;IL1RAPL1;PCDH15;SLC7A5;FLRT2;LAMA2;RGS6;AOAH;NAV3;TGFBI
NDRG1;CD44;HEPN1;FIBIN;TUBB3;HMP19;HIST1H4C;PLK1;NRG3;;NEUROD6;SLC24A2;TNR;CLDN5;ABCA9;PCBP3;MYH11;PARP8;ADORA3;HLA-DRB5
HERPUD1;VIM;HOPX;LHFPL3;HES6;TUBB3;MLF1IP;CCNA2;ADGRV1;;;MOBP;CSMD1;ABCB1;ABCA10;DLC1;KCNAB1;THEMIS;SIGLEC8;CD74
DNAJB9;MT2A;MT3;OLIG1;TAGLN3;MIAT;GMNN;CKAP2;GPM6A;;;CTNNA3;OPCML;ST8SIA6;LAMA2;SLC6A12;MYL9;CD247;SPRY1;DSE
TRIB3;C1S;SPARCL1;PSAT1;NEU4;DCX;RNASEH2A;KNSTRN;ADCY2;;;PEX5L;KCNIP4;SLC7A1;FBLN1;ATP1A2;ZFHX3;ARHGAP15;TAL1;CD93
ENO2;NAMPT;MLC1;SCRG1;MARCKSL1;NSG1;MELK;RACGAP1;CTNNA2;;;KIRREL3;LRRC4C;SLC39A10;LINC01088;RNF152;RCAN2;SYTL3;RHOB;FOSL2
AKAP12;EFEMP1;GFAP;OMG;CD24;ELAVL4;CENPK;CDCA3;FMN2;;;NKAIN2;FGF14;ANO2;USP53;SLC38A11;PIP5K1B;IKZF1;BIN1;PLTP
SQSTM1;C1R;FABP7;APOD;STMN1;MLLT11;TK1;TROAP;DTNA;;;PLP1;LRRTM4;CGNL1;APOD;PTH1R;ACTA2;IQGAP2;SALL1;THBD
MT1X;SOD2;BCAN;SIRT2;TCF12;DLX6-AS1;TMEM106C;KIF2C;RYR3;;;SLC44A1;KCND2;ANGPT2;NTRK3;TRPC4;C11orf96;STAT4;KLF2;IFITM2
ATF3;IFITM3;PON2;TNR;BEX1;SOX11;CDCA5;AURKA;RNF219-AS1;;;SHTN1;CA10;BTNL9;ABCA6;COLEC12;FLNA;CAMK4;BHLHE41;METRNL
NAMPT;TIMP1;METTL7B;THY1;OLIG1;NREP;CKS1B;CENPF;TRPM3;;;PTPRD;SNTG1;ABCG2;AC093772.1;SLC30A10;CRISPLD2;BCL11B;SLC1A3;IQGAP1
NRN1;SPP1;SPARC;PHYHIPL;MAP2;FNBP1L;CDC45;KPNA2;CTNND2;;;ANK3;LUZP2;VWF;PRICKLE1;PDGFRB;PDE3A;SLFN12L;P2RY12;PDE4B
SLC2A1;A2M;GATM;SOX2-OT;FXYD6;TAGLN3;MCM3;KIF20A;AC092691.1;;;ZNF536;CSMD3;ADGRL4;FGF13;FRMD3;MCAM;EMB;;FPR3
BNIP3;S100A11;RAMP1;NKAIN4;PTPRS;STMN4;CENPM;ECT2;RFX4;;;AC026316.5;NXPH1;GALNT18;CYP1B1;ATP1B3;ZBTB7C;SAMD3;;BHLHE40
LGALS3;MT1X;PMP2;LPPR1;MLLT11;DLX5;AURKB;BUB1;NKAIN3;;;PRUNE2;MMP16;MECOM;TGFBR3;P2RY14;CACNA1C;GNG2;;TNFSF13
INSIG2;S100A10;AQP4;PTPRZ1;NPPA;SOX4;PKMYT1;CDCA8;MIR4300HG;;;TMEM144;GRM7;BSG;DCN;SGIP1;RBPMS;ITGA4;;HLA-DMB
IGFBP3;FN1;DBI;VCAN;BCAN;MAP1B;MCM4;BUB1B;LSAMP;;;SH3GL3;ATRNL1;PTPRB;COL12A1;CASC15;PRKG1;CARD11;;KYNU
PPP1R15A;LGALS1;EDNRB;DBI;MEST;RBFOX2;ASF1B;TACC3;AQP4-AS1;;;Mar1;VCAN;ELOVL7;FHL2;GJC1;MYOCD;LINC01934;;ITGA4
VIM;S100A16;PTPRZ1;PMP2;ASCL1;IGFBPL1;GINS2;TTK;DCLK1;;;SPOCK1;MDGA2;ST6GALNAC3;ANTXR2;EPS8;LTBP1;FYB1;;CREM
PLOD2;CLIC1;CLU;CNP;BTG2;STMN1;MCM2;TUBA1C;NTRK2;;;C10orf90;FGF12;PLEKHG1;LAMC1;AC012409.2;HSPB1;DOCK2;;GPR65
GBE1;MGST1;PMP22;TNS3;DCX;HN1;FEN1;NCAPD2;CD44;;;MAN2A1;MEGF11;THSD4;PID1;RGS5;COL4A1;CD96;;FGR
SLC2A3;RCAN1;ATP1A2;LIMA1;NXPH1;TMEM161B-AS1;RRM1;ARL6IP1;GABRB1;;;PIP4K2A;XYLT1;CMTM8;KCNK2;ARHGAP42;JAG1;RUNX1;;MXD1
FTL;TAGLN2;S100A16;CA10;HN1;DPYSL3;DUT;KIF4A;ARHGEF4;;;FRMD5;BRINP3;SGPP2;ABCA8;NR2F2-AS1;FHL5;RIPOR2;;IL1RN
WARS;NPC2;HEY1;PCDHGC3;PFN2;SEPT3;RAD51AP1;CKAP2L;NAV3;;;DOCK10;GRIK1;ERG;C7;CPM;LMOD1;PDE3B;;FAM49A
ERO1L;SERPING1;PCDHGC3;CNTN1;SCG3;PKIA;MCM7;MZT1;MGAT4C;;;MAP7;PTPRZ1;TBC1D4;LAMB1;TRPC3;SH3RF3;GRAP2;;SH3BGRL
XPOT;C8orf4;TTYH1;SCD5;MYT1;ATP1B1;CCNE2;KIFC1;NRXN1;;;RNF220;DCC;PODXL;COL1A2;CNTN4;LPP;PRKCB;;EMB
HSPA5;EMP1;NDRG2;P2RX7;CHD7;DYNC1I1;ZWINT;SPAG5;AC073941.1;;;PDE4B;GRIK2;FLI1;FLVCR2;SLC6A1;AC002066.1;MCTP2;;S100A11
GDF15;APOE;PRCP;CADM2;GPR56;CD200;;ANP32E;PTCHD1-AS;;;TTLL7;NRXN1;EGFL7;COL6A3;ADGRD1;CARMN;CBLB;;LYZ
ANXA2;CTSB;ATP1B2;TTYH1;TUBA1A;SNAP25;;KIF11;NPAS3;;;TMEFF2;DPP6;TFRC;LAMA4;MYO1B;CACNB2;ZNF831;;PTPN7
EPAS1;C3;AGT;FGF12;PCBP4;PAK3;;PSRC1;GLIS3;;;CNTNAP4;SEZ6L;ITGA6;KCNIP1;CALD1;FAM129A;CYTIP;;SAMHD1
LDHA;LGALS3;PLTP;TMEM206;ETV1;NDRG4;;TUBB4B;TNIK;;;FRMD4B;SMOC1;SLC16A1;SRPX2;ARHGAP10;SLC22A3;TC2N;;SPINT2
